,no_of_cores,no_of_threads,spec_score,imageurl,model_name,brand,processor_name,ram(GB),ssd(GB),graphics,screen_size(inches),resolution_(pixels),price
73,6,12,69,,MSI_GF63_Thin_10SC-848IN_Gaming_Laptop,MSI,10th_Gen_Core_i5,8,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,17230000
74,4,8,47,,Lenovo_V14-IIL_82C4019YIH_Laptop,Lenovo,10th_Gen_Core_i5,4,256,Intel_Integrated_UHD,14,1366_x_768,13630000
75,2,2,49,,Lenovo_V14-IGL_â€Ž82C2S02K00_Laptop,Lenovo,Celeron_N4020,4,256,Intel_Integrated_UHD,14,1920_x_1080,6240000
76,6,12,71,,Lenovo_15ACH6_82JW00P5IN_Laptop,Lenovo,Ryzen_5_5600H,16,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1200,19870000
77,14,20,81,,MSI_Crosshair_15_B12UGZ-1012IN_Gaming_Laptop,MSI,12th_Gen_Core_i7,16,1000,NVIDIA_GeForce_RTX_3070,15.6,2560_x_1440,38330000
78,10,12,59,,Acer_Spin_3_SP314-55N_Laptop,Acer,12th_Gen_Core_i5,16,512,Intel_Irix_Xe_Graphics,14,1920_x_1080,24130000
79,16,24,86,,MSI_Raider_GE77HX_12UHS-205IN_Gaming_Laptop,MSI,12th_Gen_Core_i9,32,2000,NVIDIA_GeForce_RTX_3080_Ti,17.3,3840_x_2160,85190000
80,8,16,75,,MSI_Alpha_15_B5EEK-235IN_Laptop,MSI,Ryzen_7_5800H_,8,512,AMD_Radeon_RX_6600M,15.6,1920_x_1080,22710000
81,8,16,79,,MSI_Delta_15_A5EFK-201IN_Gaming_Laptop,MSI,AMD_Ryzen_7_5800H,16,1000,AMD_Radeon_RX_6700M,15.6,1920_x_1080,28680000
82,4,4,48,,Asus_EeeBook_E410KA-BV101WS_Laptop,Asus,Pentium_N6000,8,256,Intel_Integrated_UHD,14.1,1366_x_768,8230000
83,6,12,66,,MSI_GF75_Thin_10SC-611IN_Laptop,MSI,10th_Gen_Core_i5,8,256,Nvidia_GTX1650_MaxQ,15.6,1920_x_1080,16720000
84,8,16,79,,MSI_GP66_Leopard_11UG-693IN_Gaming_Laptop,MSI,11th_Gen_Core_i7,16,1000,NVIDIA_GeForce_RTX_3070,15.6,2560_x_1440,36910000
85,12,16,69,,MSI_Sword_15_A12UD-471IN__Gaming_Laptop,MSI,12th_Gen_Core_i5,16,512,NVIDIA_GeForce_RTX_3050_Ti,15.6,1920_x_1080,24420000
86,8,16,81,,MSI_GS76_Stealth_11UE-631IN_9S7-17M111-631_Gaming_Laptop,MSI,11th_Gen_Core_i7,16,1000,Nvidia_GeForce_RTX_3060,15.6,1920_x_1080,46000000
87,4,8,61,,Asus_X515EA-BQ522WS_Laptop,Asus,11th_Gen_Core_i5,8,512,Intel_Integrated_Iris_Xe,15.6,1920_x_1080,15190000
88,4,8,63,,Asus_K413EA-EB522WS_Laptop,Asus,11th_Gen_Core_i5,16,512,Intel_Integrated_Iris_Xe,14,1920_x_1080,16180000
89,2,0,44,,Asus_BR1100CKA-GJ0722W_Notebook,Asus,Celeron_N4500,4,128,Intel_Integrated_UHD_Graphics,11.6,1366_x_768,6520000
90,2,0,49,,Asus_BR1100FKA-BP1104W_Laptop,Asus,Celeron_N4500,4,128,Intel_Integrated_UHD_Graphics,11.6,1366_x_768,8510000
